0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1
1 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2
0 3 1 0 1 0 1 0 1 0 1 0 1 0 1 0
1 2 0 3 2 3 2 3 2 3 2 3 2 3 2 3
0 3 1 2 4 5 4 5 4 5 4 5 4 5 4 5
1 2 0 3 5 6 7 6 7 6 7 6 7 6 7 6
0 3 1 2 4 7 5 4 5 4 5 4 5 4 5 4
1 2 0 3 5 6 4 7 6 7 6 7 6 7 6 7
0 3 1 2 4 7 5 6 8 9 8 9 8 9 8 9
1 2 0 3 5 6 4 7 9 10 11 10 11 10 11 10
0 3 1 2 4 7 5 6 8 11 9 8 9 8 9 8
1 2 0 3 5 6 4 7 9 10 8 11 10 11 10 11
0 3 1 2 4 7 5 6 8 11 9 10 12 13 12 13
1 2 0 3 5 6 4 7 9 10 8 11 13 14 15 14
0 3 1 2 4 7 5 6 8 11 9 10 12 15 13 12
1 2 0 3 5 6 4 7 9 10 8 11 13 14 12 15
